 Column1 ;Column2;Column3
Channel              :;CH1;CH2
Frequency            :;174,5Hz;174,7Hz
Period               :;5,731ms;5,725ms
PK-PK                :;428,0mV;140,0mV
Probe attenuation    :;1X;1X
Voltage per ADC value:;0,250000mV;0,250000mV
Time interval        :;10,00000uS;10,00000uS
;;
index;CH1_Voltage(mV);CH2_Voltage(mV)
903;204;36
904;200;36
905;204;32
906;200;32
907;200;36
908;200;36
909;200;32
910;204;36
911;200;32
912;208;32
913;200;36
914;200;32
915;200;32
916;200;32
917;204;32
918;200;32
919;204;32
920;200;32
921;200;32
922;200;32
923;200;32
924;196;32
925;200;32
926;204;28
927;196;28
928;196;32
929;196;32
930;192;32
931;192;32
932;192;32
933;176;32
934;192;28
935;192;32
936;188;32
937;188;32
938;180;28
939;188;32
940;180;28
941;188;28
942;184;28
943;184;28
944;180;32
945;188;28
946;180;28
947;180;28
948;180;28
949;180;32
950;176;28
951;176;28
952;180;32
953;172;28
954;176;32
955;172;32
956;172;28
957;168;-36
958;168;-40
959;172;-40
960;164;-40
961;164;-40
962;164;-44
963;164;-44
964;160;-44
965;160;-48
966;160;-48
967;156;-52
968;156;-52
969;156;-52
970;152;-52
971;152;-56
972;152;-56
973;160;-56
974;148;-56
975;148;-56
976;144;-56
977;140;-60
978;140;-56
979;140;-56
980;136;-56
981;140;-52
982;136;-52
983;132;-52
984;132;-48
985;132;-48
986;128;-44
987;128;-44
988;128;-40
989;124;-36
990;124;-36
991;120;-32
992;120;-28
993;116;-28
994;112;-24
995;116;-28
996;112;-24
997;108;-24
998;108;-24
999;104;-24
1000;104;-20
1001;88;-24
1002;104;-24
1003;100;-24
1004;96;-24
1005;96;-24
1006;96;-24
1007;92;-24
1008;88;-24
1009;88;-24
1010;84;-24
1011;84;-28
1012;84;-28
1013;80;-28
1014;80;-28
1015;96;-28
1016;76;-32
1017;72;-28
1018;72;-32
1019;72;-32
1020;64;-32
1021;68;-32
1022;64;-32
1023;64;-32
1024;60;-32
1025;60;-32
1026;56;-32
1027;48;-32
1028;52;-32
1029;48;-32
1030;48;-32
1031;44;-36
1032;44;-36
1033;40;-32
1034;36;-32
1035;36;-32
1036;36;-36
1037;32;-32
1038;32;-32
1039;28;-36
1040;28;-32
1041;24;-36
1042;24;-36
1043;20;-32
1044;20;-36
1045;16;-32
1046;16;-36
1047;16;-36
1048;0;-36
1049;12;-36
1050;8;-36
1051;4;-36
1052;4;-36
1053;0;-40
1054;0;-40
1055;-4;-40
1056;-4;-44
1057;-8;-44
1058;-8;-44
1059;-12;-48
1060;-12;-52
1061;-16;-52
1062;-16;-52
1063;-20;-52
1064;-20;-52
1065;-24;-56
1066;-24;-56
1067;-24;-56
1068;-32;-56
1069;-24;-56
1070;-36;-56
1071;-36;-56
1072;-36;-56
1073;-40;-52
1074;-40;-52
1075;-40;-52
1076;-40;-48
1077;-48;-48
1078;-52;-44
1079;-52;-44
1080;-56;-40
1081;-56;-36
1082;-56;-36
1083;-48;-32
1084;-60;-32
1085;-60;-32
1086;-64;-28
1087;-68;-24
1088;-72;-28
1089;-68;-24
1090;-84;-24
1091;-72;-24
1092;-76;-24
1093;-80;-20
1094;-80;-20
1095;-88;-24
1096;-84;-24
1097;-88;-24
1098;-88;-24
1099;-92;-24
1100;-92;-24
1101;-96;-24
1102;-100;-24
1103;-96;-24
1104;-96;-28
1105;-100;-24
1106;-100;-28
1107;-104;-28
1108;-104;-28
1109;-104;-28
1110;-108;-28
1111;-112;-28
1112;-112;-32
1113;-116;-32
1114;-116;-32
1115;-116;-32
1116;-120;-32
1117;-120;-32
1118;-120;-32
1119;-124;-32
1120;-124;-32
1121;-124;-32
1122;-128;-32
1123;-140;-32
1124;-128;-32
1125;-132;-36
1126;-132;-32
1127;-136;-32
1128;-136;-32
1129;-140;-32
1130;-132;-32
1131;-140;-36
1132;-144;-36
1133;-140;-36
1134;-144;-32
1135;-144;-32
1136;-144;-32
1137;-144;-32
1138;-148;-32
1139;-152;-36
1140;-156;-32
1141;-152;-36
1142;-156;-36
1143;-156;-32
1144;-152;-36
1145;-156;-36
1146;-156;-36
1147;-160;-36
1148;-160;-40
1149;-160;-40
1150;-164;-40
1151;-164;-44
1152;-164;-44
1153;-168;-48
1154;-168;-48
1155;-164;-52
1156;-172;-52
1157;-172;-52
1158;-172;-56
1159;-172;-52
1160;-172;-56
1161;-172;-56
1162;-172;-56
1163;-176;-56
1164;-172;-56
1165;-200;-56
1166;-176;-56
1167;-176;-4
1168;-176;36
1169;-180;36
1170;-180;40
1171;-176;40
1172;-188;40
1173;-180;44
1174;-184;48
1175;-180;52
1176;-180;52
1177;-172;56
1178;-184;56
1179;-184;60
1180;-184;60
1181;-184;64
1182;-184;64
1183;-184;64
1184;-184;68
1185;-184;64
1186;-184;64
1187;-184;64
1188;-184;64
1189;-188;68
1190;-188;64
1191;-184;64
1192;-184;64
1193;-184;64
1194;-188;64
1195;-188;64
1196;-184;64
1197;-188;64
1198;-184;64
1199;-184;60
1200;-184;60
1201;-188;60
1202;-184;60
1203;-184;60
1204;-188;60
1205;-176;60
1206;-184;56
1207;-180;60
1208;-184;56
1209;-184;56
